/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: ipv6 not available
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2024/01/07 03:29:21 [error] 19#19: *41 "/etc/nginx/html/index.html" is not found (2: No such file or directory), client: 10.156.42.43, server: _, request: "GET / HTTP/1.1", host: "10.157.11.6"
2024/01/07 20:23:39 [error] 19#19: *59 open() "/etc/nginx/html/mtnrwanda/MTN_LindedIn.png" failed (2: No such file or directory), client: 169.254.131.254, server: _, request: "GET /mtnrwanda/MTN_LindedIn.png HTTP/1.1", host: "10.157.11.6"
2024/01/07 20:52:27 [error] 19#19: *60 open() "/etc/nginx/html/mtnrwanda/MTN_LindedIn.png" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /mtnrwanda/MTN_LindedIn.png HTTP/1.1", host: "localhost:8080"
2024/01/07 21:03:21 [error] 19#19: *63 open() "/etc/nginx/html/mtnrwanda/MTN_LindedIn.png" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "HEAD /mtnrwanda/MTN_LindedIn.png HTTP/1.1", host: "localhost:8080"
2024/01/07 21:28:02 [error] 19#19: *64 open() "/etc/nginx/html/mtnrwanda/MTN_LindedIn.png" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "HEAD /mtnrwanda/MTN_LindedIn.png HTTP/1.1", host: "localhost:8080"
2024/01/07 21:29:23 [error] 19#19: *65 open() "/etc/nginx/html/staticfiles/MTN_LindedIn.png" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "HEAD /staticfiles/MTN_LindedIn.png HTTP/1.1", host: "localhost:8080"
2024/01/07 21:31:12 [error] 19#19: *66 open() "/etc/nginx/html/mtnrwanda" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "HEAD /mtnrwanda HTTP/1.1", host: "localhost:8080"
2024/01/07 21:34:56 [warn] 19#19: *71 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 100.64.0.1, server: mtnrwanda-survey.mtn.co.rw, request: "GET /digi_runner.js HTTP/1.1", upstream: "http://10.157.11.89:80/digi_runner.js", host: "mtnrwanda-survey.mtn.co.rw"
2024/01/07 21:43:54 [error] 19#19: *73 open() "/etc/nginx/html/mtnrwanda/MTN_LindedIn.png" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "HEAD /mtnrwanda/MTN_LindedIn.png HTTP/1.1", host: "localhost:8080"
2024/01/07 21:54:35 [error] 19#19: *76 open() "/etc/nginx/html/mtnrwanda/MTN_LindedIn.png" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "HEAD /mtnrwanda/MTN_LindedIn.png HTTP/1.1", host: "localhost:8080"
2024/01/07 22:25:47 [error] 273#273: *77 open() "/etc/nginx/html/mtnrwanda/MTN_LindedIn.png" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "HEAD /mtnrwanda/MTN_LindedIn.png HTTP/1.1", host: "localhost:8080"
2024/01/08 01:03:32 [error] 273#273: *105 open() "/etc/nginx/html/mtnrwanda/MTN_LindedIn.png" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "HEAD /mtnrwanda/MTN_LindedIn.png HTTP/1.1", host: "localhost:8080"
2024/01/08 01:29:08 [error] 273#273: *111 "/etc/nginx/html/index.html" is not found (2: No such file or directory), client: 127.0.0.1, server: _, request: "HEAD / HTTP/1.1", host: "localhost:8080"
2024/01/08 01:30:37 [error] 273#273: *112 "/etc/nginx/html/index.html" is not found (2: No such file or directory), client: 127.0.0.1, server: _, request: "HEAD / HTTP/1.1", host: "localhost:8080"
2024/01/08 02:07:20 [error] 273#273: *113 "/etc/nginx/html/index.html" is not found (2: No such file or directory), client: 127.0.0.1, server: _, request: "HEAD / HTTP/1.1", host: "localhost:8080"
